Country Name,Country Code,Indicator Name,Indicator Code,Year,GDP
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1960.0,537777811.111111
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1961.0,548888895.555556
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1962.0,546666677.777778
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1963.0,751111191.111111
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1964.0,800000044.444444
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1965.0,1006666637.77778
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1966.0,1399999966.66667
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1967.0,1673333417.77778
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1968.0,1373333366.66667
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1969.0,1408888922.22222
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1970.0,1748886595.55556
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1971.0,1831108971.11111
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1972.0,1595555475.55556
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1973.0,1733333264.44444
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1974.0,2155555497.77778
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1975.0,2366666615.55556
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1976.0,2555555566.66667
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1977.0,2953333417.77778
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1978.0,3300000108.88889
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1979.0,3697940409.61098
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1980.0,3641723321.99546
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1981.0,3478787909.09091
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1982.0,3391876354.864982
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1983.0,3267880808.0900726
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1984.0,3023175884.1847253
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1985.0,2612647751.8960443
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1986.0,2024323763.4167182
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1987.0,1274002084.502035
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1988.0,399881324.58690387
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1989.0,-542809833.0971361
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1990.0,-1487183001.4048913
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1991.0,-2360060459.1604953
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1992.0,-3087345521.0403953
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1993.0,-3599392907.456334
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1994.0,-3836379114.4383316
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1995.0,-3753672783.517668
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1996.0,-3327205071.609859
